TicketId,Description,Vocabulary
19,JOb schedules were kept on hold as the schedules were didnt run for past few days due to file unavailaility. Hence received deadline alert for the same.,"{'on', 'run', 'job', 'past', '.', 'didnt', 'same', 'hence', 'received', 'due', 'the', 'unavailaility', 'were', 'alert', 'to', 'file', 'as', 'schedules', 'days', 'deadline', 'hold', 'few', 'for', 'kept'}"
20,Job got failed due to connectivity issue. Then issue was fixed and job was re started,"{'issue', 'connectivity', 'to', 'started', 're', 'got', 'job', 'then', '.', 'failed', 'and', 'fixed', 'due', 'was'}"
21,Completed on re-run.,"{'re-run', 'completed', '.', 'on'}"
22,Self-lock. Job completed by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
23,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully.","{'td', 'which', 'by', 'has', 'job', '.', 'provided', 'there', 'was', 'after', 'team', 'upgrade', 'completed', 'been', ',', 'rerun', 'issue', 'an', 'later', 'successfully', 'fix', 'with', 'and'}"
24,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. ,"{'td', 'got', 'database', 'job', '.', 'login', 'there', 'due', 'was', 'box', 'the', 'after', 'completed', 'we', 'reduced', 'issue', 'to', 'successfully', 'reexecuted', 'as', 'have', 'load', 'abended', 'time', 'in', 'and', 'out'}"
25,Job got abended due to connectivity issue. Then job has been re-executed and completed successfully.,"{'abended', 're-executed', 'issue', 'connectivity', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'and', 'completed', 'been', 'due'}"
26,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.","{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
27,Job got failed due to source unavailability. Then Job was cancelled for the day.,"{'to', 'the', 'day', 'got', 'source', 'job', 'cancelled', 'then', '.', 'failed', 'for', 'unavailability', 'due', 'was'}"
28,Source file issue. Job completed after receiving the file.,"{'issue', 'the', 'after', 'source', 'file', 'job', '.', 'completed', 'receiving'}"
29,Source file issue. Job completed after receiving the file.,"{'issue', 'the', 'after', 'source', 'file', 'job', '.', 'completed', 'receiving'}"
30,The job has been completed successfully on re-run,"{'on', 'has', 'the', 'job', 'successfully', 'completed', 'been', 're-run'}"
31,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'been', 'tdata', 'due', 'was'}"
32,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.","{'invalid', 're-executed', 'to', 'the', 'after', 'deleteing', 'job', 'successfully', 'records', '.', 'failed', 'duplicate', 'and', '.we', 'completed', 'have', 'due'}"
33,Collect stats failed. Done manually.,"{'manually', '.', 'collect', 'failed', 'stats', 'done'}"
34,the job was killed as it hanged for long time. the job was cancelled for the day.,"{'hanged', 'the', 'long', 'time', 'day', 'killed', 'job', 'cancelled', '.', 'as', 'it', 'for', 'was'}"
35,schedule triggered wrongly. so the job are killed manually. ,"{'triggered', 'wrongly', 'the', 'so', 'manually', 'are', 'job', 'killed', '.', 'schedule'}"
36,Self-lock occured. Job completed after manually running the query.,"{'occured', 'after', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
37,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully","{'td', 'which', 'by', 'has', 'happened', 'job', 'there', 'was', 'the', 'after', 'dba', 'upgrade', 'completed', ',', 'been', 'rerun', 'issue', 'an', 'later', 'successfully', 'provide', 'fix', 'with', 'and'}"
38,Stats failed due to format issue. Manually run stats.,"{'issue', 'run', 'to', 'manually', '.', 'failed', 'stats', 'format', 'due'}"
39,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,"{'invalid', 're-executed', 'to', 'the', 'after', 'deleteing', 'job', 'successfully', 'records', '.', 'failed', 'duplicate', 'and', '.we', 'completed', 'have', 'due'}"
40,Job got failed due to login time out. Then job was re-started.,"{'to', 'time', 'got', 'job', 'then', '.', 're-started', 'failed', 'login', 'out', 'due', 'was'}"
41,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.,"{'server', 'abended', 'down', 'the', 'be', 'oraacle', 'source', 'database', 'job', 'oracle', 'restarted', '.', 'is', 'as', 'will', 'once', 'was'}"
42,"Source file unavailable , job completed successfully after receiving the updated file.","{'unavailable', 'the', 'after', 'source', 'file', 'job', 'successfully', '.', 'updated', 'completed', ',', 'receiving'}"
43,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
44,source file not available.,"{'not', 'source', 'file', 'available', '.'}"
45,rerun was successful,"{'was', 'successful', 'rerun'}"
46,completed successfully on re-running,"{'re-running', 'completed', 'on', 'successfully'}"
47,The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.,"{'invalid', 're-executed', 'to', 'the', 'after', 'deleteing', 'job', 'successfully', 'records', '.', 'failed', 'duplicate', 'and', '.we', 'completed', 'have', 'due'}"
48,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.,"{'issue', 'connectivity', 'to', 'got', 'job', 'successfully', 'then', '.', 're-started', 'failed', 'and', 'completed', 'due', 'was'}"
49,The job Abended after running for long time. The next day's backup batch have covered all the backlogs.,"{'abended', 'the', 'after', 'long', 'running', 'time', 'day', ""'s"", 'job', 'backup', 'covered', '.', 'batch', 'all', 'for', 'backlogs', 'next', 'have'}"
50,Source file not available. Job completed once the file is available.,"{'not', 'the', 'source', 'file', 'available', 'job', '.', 'is', 'completed', 'once'}"
51,Completed on re-run.,"{'re-run', 'completed', '.', 'on'}"
52,The job has been ran successfully on rerun,"{'on', 'has', 'the', 'job', 'ran', 'successfully', 'been', 'rerun'}"
53,Job got failed due to data issue. Then issue was fixed and job was re-started and completed successfully.,"{'issue', 'to', 'completed', 'got', 'data', 'job', 'successfully', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
54,JOb was failed due to null value issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'job', 'then', '.', 'restarted', 'failed', 'value', 'and', 'fixed', 'null', 'due', 'was'}"
55,Source file issue. Job completed after receiving the file.,"{'issue', 'the', 'after', 'source', 'file', 'job', '.', 'completed', 'receiving'}"
56,Job was marked as completed.,"{'marked', 'job', '.', 'as', 'completed', 'was'}"
57,Duplicates found. completed on re-run,"{'found', 'on', '.', 'completed', 're-run', 'duplicates'}"
58,Job got abended due to duplicate issue. Then issue has been fixed and job  has been re-executed and completed successfully.,"{'abended', 're-executed', 'issue', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'and', 'duplicate', 'fixed', 'been', 'due', 'completed'}"
59,Source file not available.,"{'not', 'source', 'file', 'available', '.'}"
60,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,"{'placed', 'has', 'got', 'job', 'path', 'then', '.', 'failed', 'due', 'the', 'unavailability', 'been', 'once', 'to', 'file', 'have', 'started', 're', 'in'}"
61,Batch Issues. Jobs were re-run successfully.,"{'were', 'jobs', 'successfully', '.', 'batch', 'issues', 're-run'}"
62,Failed due to login time out issue and on re-running job got completed successfully.,"{'issue', 'on', 'to', 'time', 're-running', 'got', 'job', 'successfully', '.', 'failed', 'and', 'login', 'completed', 'out', 'due'}"
63,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,"{'placed', 'to', 'started', 'the', 're', 'got', 'file', 'job', 'path', 'then', '.', 'in', 'failed', 'unavailability', 'once', 'due', 'was'}"
64,Confirmed at backend,"{'backend', 'at', 'confirmed'}"
65,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'been', 'tdata', 'due', 'was'}"
66,Self-lock. Job completed by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
67,"Triggered wrongly , due to isue with the job","{'triggered', 'wrongly', 'to', 'isue', 'the', 'job', ',', 'with', 'due'}"
68,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,"{'issue', 'connectivity', 'to', 'got', 'job', 'successfully', 'then', '.', 'restarted', 'failed', 'and', 'completed', 'due', 'was'}"
69,JOb got failed due to file unavailability. Then job was re-started.,"{'to', 'got', 'file', 'job', 'then', '.', 're-started', 'failed', 'unavailability', 'due', 'was'}"
70,Source file not available. Job re-run once the file is available.,"{'not', 'the', 'source', 'file', 'available', 'job', '.', 'is', 'once', 're-run'}"
71,No source file.,"{'no', '.', 'source', 'file'}"
72,Named pipe error. Lock released and job re-run successfully.,"{'released', 'pipe', 'job', 'successfully', '.', 'and', 'error', 'named', 'lock', 're-run'}"
73,Job got trigerred wrongly. Hence Job was aborted and cancelled,"{'wrongly', 'got', 'trigerred', 'job', 'cancelled', '.', 'and', 'hence', 'aborted', 'was'}"
74,Job got failed due to name pipe error. THen job was restarted and completed.,"{'to', 'got', 'name', 'job', 'pipe', 'then', '.', 'restarted', 'failed', 'and', 'error', 'completed', 'due', 'was'}"
75,brj issue. Job re-run once brj is up and completed successfully.,"{'up', 'issue', 'job', 'successfully', '.', 'is', 'and', 'completed', 'once', 're-run', 'brj'}"
76,Self-lock occured. Job completed by running the query manually.,"{'by', 'occured', 'the', 'running', 'manually', 'job', '.', 'self-lock', 'query', 'completed'}"
77,"Batch entry was not there , updated the entry to R status f, the job completed successfully.","{'status', 'not', 'r', 'the', 'to', 'job', 'f', 'entry', 'successfully', 'batch', 'updated', '.', 'there', 'completed', ',', 'was'}"
78,rerun of the job was successful,"{'the', 'successful', 'job', 'rerun', 'of', 'was'}"
79,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'file', 'job', 'then', '.', 'restarted', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
80,Job executed successfully at back end.,"{'successfully', 'job', '.', 'end', 'executed', 'at', 'back'}"
81,cancelled the job,"{'the', 'job', 'cancelled'}"
82,"self lock occurred , completed the job by running the script","{'by', 'lock', 'the', 'running', 'job', 'occurred', 'script', 'completed', ',', 'self'}"
83,On rerun job was completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 'rerun', 'was'}"
84,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
85,The batch completed successfully on re-run,"{'on', 'the', 'successfully', 'batch', 'completed', 're-run'}"
86,"
The job failed due to tbload.It completed successfulll after releasing the tbload.","{'releasing', 'successfulll', 'to', 'the', 'after', 'tbload.it', 'job', '.', 'failed', 'tbload', 'completed', 'due'}"
87,JOb got failed due to process state failure. Then issue was fixed and job was re-started.,"{'issue', 'to', 'failure', 'got', 'job', 'then', '.', 're-started', 'failed', 'state', 'and', 'process', 'fixed', 'due', 'was'}"
88,No source file,"{'no', 'source', 'file'}"
89,Self-lock occured. Job was killed and completed successfully by running the query manually.,"{'by', 'occured', 'the', 'running', 'manually', 'killed', 'job', 'successfully', '.', 'self-lock', 'and', 'query', 'completed', 'was'}"
90,Completed on re-run,"{'re-run', 'completed', 'on'}"
91,The job abended due to dupllicate/NULL/Invalid Format issue. The issue was fixed and the job was restarted and completed successfully.,"{'abended', 'issue', 'dupllicate/null/invalid', 'to', 'the', 'completed', 'job', 'successfully', 'restarted', '.', 'and', 'fixed', 'format', 'due', 'was'}"
92,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
93,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.,"{'outage', 'to', 'the', 'has', 'compelted', 'got', 'job', 'then', '.', 're-started', 'failed', 'been', 'tdata', 'once', 'due', 'was'}"
94,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
95,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
96,The job was killed manually as the job was hanged,"{'hanged', 'the', 'manually', 'killed', 'job', 'as', 'was'}"
97,Job got failed due to duplicate issue. Then issue has been fixed and job has been re-started,"{'issue', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'duplicate', 'and', 'fixed', 'been', 'due'}"
98,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'has', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'been', 'tdata', 'due', 'was'}"
99,Job completed successfully by running the query manually.,"{'by', 'the', 'running', 'manually', 'job', 'successfully', '.', 'query', 'completed'}"
100,Job got failed due to file unailability. Then issue was fixed and job was re-started,"{'issue', 'to', 'got', 'file', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'unailability', 'due', 'was'}"
101,Source file not available.,"{'not', 'source', 'file', 'available', '.'}"
102,brj issue. completed on re-run,"{'on', 'issue', '.', 'completed', 're-run', 'brj'}"
103,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.,"{'got', 'database', 'job', '.', 'error', 'due', 'was', 'the', 'restarted', 'completed', 'to', 'pipe', 'successfully', 'connection', 'with', 'abended', 'time', 'and', 'out'}"
104,The job got abended with PIPE error due to database connection time out.,"{'abended', 'the', 'to', 'time', 'got', 'database', 'job', 'pipe', '.', 'error', 'connection', 'out', 'with', 'due'}"
105,Successful on re- run,"{'re-', 'on', 'successful', 'run'}"
106,"
The job failed due to duplicate .We have re-executed the job after deleteing the invalid records and the job completed successfully.","{'invalid', 're-executed', 'to', 'the', 'after', 'deleteing', 'job', 'successfully', 'records', '.', 'failed', 'duplicate', 'and', '.we', 'completed', 'have', 'due'}"
107,The job completed on rerun,"{'on', 'the', 'job', 'completed', 'rerun'}"
108,On re-run job completed successfully.,"{'on', 'job', 'successfully', '.', 'completed', 're-run'}"
109,Job got failed due to duplicate issue. Then issue has been fixed and job was restarted.,"{'issue', 'to', 'has', 'got', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'been', 'due', 'was'}"
110,The job abended due to the duplicate/NULL/Invalid data format issues. The issue is fixed and the job was restarted and completed successfully,"{'abended', 'issue', 'to', 'the', 'completed', 'data', 'job', 'successfully', 'duplicate/null/invalid', '.', 'is', 'and', 'restarted', 'fixed', 'issues', 'format', 'due', 'was'}"
111,"self lock occurred , on rerun the job completed successfully","{'on', 'lock', 'the', 'job', 'occurred', 'successfully', 'completed', ',', 'self', 'rerun'}"
112,The job failed due to tbload.It completed successfulll after releasing the tbload.,"{'releasing', 'successfulll', 'to', 'the', 'after', 'tbload.it', 'job', '.', 'failed', 'tbload', 'completed', 'due'}"
113,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.,"{'re-executed', 'issue', 'connectivity', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'failed', 'and', 'completed', 'been', 'due'}"
114,JOb got failed due to low disk space. Then issue was fixed and job was re-started.,"{'low', 'issue', 'to', 'disk', 'got', 'space', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
115,Job got failed due to data issue. Then issue was fixed and job was re started,"{'issue', 'to', 'started', 're', 'got', 'data', 'job', 'then', '.', 'failed', 'and', 'fixed', 'due', 'was'}"
116,JOb got failed due to name pipe error  and job was re-started and completed,"{'to', 'got', 'name', 'job', 'pipe', 're-started', 'failed', 'and', 'error', 'completed', 'due', 'was'}"
117,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.,"{'(', 'job', '.', ')', 'format', 'due', 'was', 'the', 'data', 'i.e', 'restarted', 'fixed', 'completed', 'issue', 'to', 'successfully', 'values/invalid', 'abended', 'and', 'duplicates/null', 'issues'}"
118,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,"{'placed', 'has', 'got', 'job', 'path', 'then', '.', 'failed', 'due', 'the', 'unavailability', 'been', 'once', 'to', 'file', 'have', 'started', 're', 'in'}"
119,Confirmed at backend,"{'backend', 'at', 'confirmed'}"
120,The job ran successfully on re-run,"{'on', 'the', 'successfully', 'ran', 'job', 're-run'}"
121,the jobs failed due to null values which has been completed after re-execution.,"{'which', 'to', 'the', 'has', 'after', 're-execution', 'values', 'jobs', '.', 'failed', 'completed', 'been', 'null', 'due'}"
122,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
123,Named pipe error. Lock released and job is re-run.,"{'released', 'pipe', 'job', '.', 'is', 'and', 'error', 'named', 'lock', 're-run'}"
124,Source file issue.,"{'.', 'source', 'issue', 'file'}"
125,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed,"{'incorrect', 'issue', 'to', 'completed', 'stream', 'closure', 'got', 'job', 'then', '.', 'restarted', 'failed', 'and', 'fixed', 'due', 'was'}"
126,JOb got failed due to tdata Outage. Then JOb was re started once the outage was over.,"{'outage', 'to', 'started', 'the', 're', 'got', 'over', 'job', 'then', '.', 'failed', 'tdata', 'once', 'due', 'was'}"
127,Job got failed due to data value issue. Then issue has been fixed and job has been re-started.,"{'issue', 'to', 'has', 'got', 'data', 'job', 'then', '.', 're-started', 'failed', 'value', 'and', 'fixed', 'been', 'due'}"
128,on rerun the job completed successfully.,"{'on', 'the', 'job', 'successfully', '.', 'completed', 'rerun'}"
129,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
130,job confirmed at backend ,"{'backend', 'at', 'confirmed', 'job'}"
131,"
The job failed due to log in time out error.We have re-executed the job and completed successfully.","{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
132,Wrongly triggered,"{'triggered', 'wrongly'}"
133,JOb got failed due to login timeeout. then job was re-started and completed,"{'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'timeeout', 'and', 'login', 'completed', 'due', 'was'}"
134,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
135,Job got abended due to existence of bad character. Then issue has been fixed and job has been re-executed and completed successfully.,"{'has', 'got', 'job', 'then', '.', 'due', 'fixed', 'been', 'completed', 'issue', 'to', 'successfully', 'abended', 're-executed', 'bad', 'existence', 'and', 'character', 'of'}"
136,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully.","{'td', 'which', 'by', 'weekend', 'happened', 'jobs', '.', 'there', 'the', 'after', 'team', 'were', 'upgrade', 'fixed', ',', 'completed', 'later', 'successfully', 'over', 're', 'in', 'and', 'processed', 'issues'}"
137,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully,"{'abended', 're-executed', 'issue', 'to', 'has', 'got', 'job', 'successfully', 'then', '.', 'and', 'duplicate', 'fixed', 'been', 'due', 'completed'}"
138,re run was successfull,"{'re', 'successfull', 'run', 'was'}"
139,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'file', 'job', 'then', '.', 'restarted', 'failed', 'and', 'unavailability', 'fixed', 'due', 'was'}"
140,The job abended due to tbload issue. the issue was fixed and the job was reran and completed successfully.,"{'abended', 'issue', 'to', 'the', 'completed', 'job', 'reran', 'successfully', '.', 'and', 'tbload', 'fixed', 'due', 'was'}"
141,Source file not available. Job re-run once the file is avaialble.,"{'not', 'the', 'source', 'file', 'available', 'job', '.', 'is', 'once', 're-run', 'avaialble'}"
142,self lock. script executed,"{'lock', 'script', '.', 'executed', 'self'}"
143,on rerun the job completed successfully.,"{'on', 'the', 'job', 'successfully', '.', 'completed', 'rerun'}"
144,Self-lock occured. Job was killed and completed successfully by running the query manually.,"{'by', 'occured', 'the', 'running', 'manually', 'killed', 'job', 'successfully', '.', 'self-lock', 'and', 'query', 'completed', 'was'}"
145,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully. ,"{'td', 'got', 'database', 'job', '.', 'login', 'there', 'due', 'was', 'box', 'the', 'after', 'completed', 'we', 'reduced', 'issue', 'to', 'successfully', 'reexecuted', 'as', 'have', 'load', 'abended', 'time', 'in', 'and', 'out'}"
146,The job got abended with PIPE error due to database connection time out.,"{'abended', 'the', 'to', 'time', 'got', 'database', 'job', 'pipe', '.', 'error', 'connection', 'out', 'with', 'due'}"
147,the job completed Succefully on rerun,"{'succefully', 'on', 'the', 'job', 'completed', 'rerun'}"
148,Job got failed due to source unavailability. Then Job was cancelled for the day.,"{'to', 'the', 'day', 'got', 'source', 'job', 'cancelled', 'then', '.', 'failed', 'for', 'unavailability', 'due', 'was'}"
149,Job got failed due to file unavailability. Then job has been re started once the file have been placed in the path.,"{'placed', 'has', 'got', 'job', 'path', 'then', '.', 'failed', 'due', 'the', 'unavailability', 'been', 'once', 'to', 'file', 'have', 'started', 're', 'in'}"
150,schedule triggered wrongly. so the job are killed manually. ,"{'triggered', 'wrongly', 'the', 'so', 'manually', 'are', 'job', 'killed', '.', 'schedule'}"
151,The job failed due to log in time out error.We have re-executed the job and completed successfully.,"{'re-executed', 'error.we', 'to', 'the', 'time', 'log', 'job', 'successfully', 'in', '.', 'failed', 'and', 'completed', 'out', 'have', 'due'}"
152,No source file.,"{'no', '.', 'source', 'file'}"
153,the job failed due to row count mismatch between source file and the ODS table. We have requested the source team to place the source files again. The job completed after placing the source file in the source path.,"{'between', 'table', 'place', 'files', 'job', 'path', '.', 'failed', 'due', 'the', 'after', 'team', 'completed', 'we', 'placing', 'to', 'file', 'ods', 'have', 'row', 'again', 'count', 'source', 'in', 'mismatch', 'and', 'requested'}"
154,Job got failed due to name pipe error. Then job was re-started and completed successfully.,"{'to', 'got', 'name', 'job', 'pipe', 'then', '.', 're-started', 'failed', 'and', 'successfully', 'error', 'completed', 'due', 'was'}"
155,job executed successfully on rerunning,"{'rerunning', 'on', 'successfully', 'job', 'executed'}"
156,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.,"{'issue', 'to', 'got', 'data', 'job', 'then', '.', 'restarted', 'failed', 'duplicate', 'and', 'fixed', 'due', 'was'}"
157,Login timed out error. completed on re-run,"{'login', 'on', '.', 'timed', 'error', 'completed', 'out', 're-run'}"
158,Job got failed due to count mismatch. Then issue has been fixed and job has been re started,"{'count', 'issue', 'to', 'has', 'started', 're', 'got', 'job', 'then', '.', 'failed', 'mismatch', 'and', 'fixed', 'been', 'due'}"
159,rerun was successful,"{'was', 'successful', 'rerun'}"
160,JOb got failed due to data issue. Then issue was fixed and job was restarted and completed successfully.,"{'issue', 'to', 'completed', 'got', 'data', 'job', 'successfully', 'then', '.', 'restarted', 'failed', 'and', 'fixed', 'due', 'was'}"
161,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.,"{'issue', 'connectivity', 'to', 'got', 'job', 'successfully', 'then', '.', 'restarted', 'failed', 'and', 'completed', 'due', 'was'}"
162,Job got failed due to file unavailability. Then job was re started once the file was placed in the path.,"{'placed', 'to', 'started', 'the', 're', 'got', 'file', 'job', 'path', 'then', '.', 'in', 'failed', 'unavailability', 'once', 'due', 'was'}"
163,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.,"{'issue', 'connectivity', 'to', 'got', 'job', 'then', '.', 're-started', 'failed', 'and', 'fixed', 'due', 'was'}"
164,Job got failed due to login time out. Then job was re-started.,"{'to', 'time', 'got', 'job', 'then', '.', 're-started', 'failed', 'login', 'out', 'due', 'was'}"
165,Job re-run once the source file is available.,"{'the', 'source', 'file', 'job', 'available', 'is', '.', 'once', 're-run'}"
166,"scheduls was held due to performance issues in the batches, will be run in enxt day's load","{'load', 'run', 'to', 'the', 'batches', 'be', 'day', 'held', ""'s"", 'performance', 'in', 'scheduls', 'will', 'enxt', ',', 'issues', 'due', 'was'}"
