TicketId,Description
223,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully
224,Self-lock. Job completed after running the query manually.
225,The job failed due to log in time out error.We have re-executed the job and completed successfully.
226,Job got abended due to data issue. Then issue has been fixed and job has been re-executed and compelted sucecssfully
227,Job re-run once the file is available.
228,brj issue. completed on re-run
229,Job got failed due to count mismatch. Then issue has been fixed and job has been re started
230,job executed successfully on rerunning
231,The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.
232,Job completed successfully on re-run.
233,re-run was successfully
234,schedule triggered wrongly. so the job are killed manually. 
235,Login timed out error.completed on re-run.
236,The job ran successfully on re-run
237,job will be run as a part of reference table data load
238,Job got failed due to connectivity issue. Then job was re-started
239,Job got failed due to connectivity issue. Then job was cancelled for the day.
240,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
241,The job got killed due to tbload issue. the tbload was removed and the job was restarted and completed successfully.
242,The job failed due to log-in time out which has been re-executed and completed successfully.
243,job got failed due to name pipe error. Then issue was fixed and job was re-started
244,On re-run job completed successfully.
245,Completed on re-run
246,Source file not available. Job re-run once the file is avaialble.
247,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
248,Job got failed due to connectivity issue. Then job has been re-executed and completed successfully.
249,Job got failed due to connectivity issue. Then issue has been resoved adn job was restarted.
250,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed
251,Source file not available. Job re-run once the file is available.
252,JOb got failed due to connectivity issue. Then job was re-started.
253,The job ran successfully on re-run
254,Wrongly triggered.
255,The job has been completed succesfully on re-run
256,brj issue. Job re-run once brj is up and completed successfully.
257,Self-lock occured. Job completed by manually running the query.
258,Source file not available. Job re-run once the file is avaialble.
259,on rerun the job completed successfully.
260,"failed during collect stats , skipped and continued the job"
261,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.
262,Batch Issues. Jobs were re-run successfully.
263,"Job failed to trigger in production. On re-run, the job was completed successfully."
264,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully."
265,Job got falied due to connectivity issue. Then job was completed on successful re-run
266,"Due to data issues, the job was failed. On fixing the data and re-running, the job was completed successfully."
267,"Time out issue , rerun was success"
268,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.
269,Source file not available. Job re-run once the file is available.
270,Job got failed due to process state failure. Job was re started once the issue fixed.
271,"TD outage ,successful on rerun"
272,Job got failed due to file unavailability. Then issue was fixed and job wass re-started
273,Job got failed due to duplicate issue. Then issue has been fixed and job was re-started
274,Job got failed due to count mismatch. Then issue has been fixed and job has been re started
275,on rerun the job completed successfully.
276,he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.
277,The job has been completed succesfully on re-run
278,"JOb failed due to namepipe error, successful on rerun"
279,Named pipe error. Lock released and job re-run successfully.
280,The job ran successfully on re-run
281,TODS error.
282,Source file issue. Job completed after receiving the file.
283,Job was marked as completed.
284,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
285,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
286,rerun was successful
287,brj issue. completed on re-run
288,Login timed out error. completed on re-run
289,The job has been completed succesfully on re-run
290,brj issue. completed on re-run
291,The job abended due to duplicate/null data issue. The issue was resolved and the job was restarted and completed successfully.
292,re-run was successful.
293,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
294,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.
295,Job got failed due to connectivity issue. Then issue was fixed and job was re started
296,Job got failed due to null value issue. Then issue has been fixed and job has been re-started.
297,JOb got failed due to duplicate issue. Then issue was fixed and job was re-started.
298,The job abended due to Data Issue (i.e. Duplicates/NULL values/ Invalid data format). the job was restarted and it got completed successfully.
299,wrongly triggered
300,Job completed by manually running the query.
301,JOb was failed due to null value issue. Then issue was fixed and job was restarted.
302,JOb got failed due to process state failure. Then issue was fixed and job was restarted and completed successfully.
303,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully."
304,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.
305,Job got failed due to count mismatch. Then issue has been fixed and job was re started.
306,Job got failed due to count mismatch. Then issue has been fixed and job has been re started
307,The job abended due to duplicate data issue. The issue was fixed and the job was restarted and completed successfully.
308,The job completed successfully on re-executing the job
309,self lock. script executed.
310,The job has been ran successfully on rerun
311,Source file was not available.
312,The job completed successfully on re-executing the job
313,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
314,On re-running the job was successful
315,Job was executed successfully on re run.
316,On re-run job completed successfully.
317,Source level issue (i.e. source file missing (or) Invalid data format from source)  leads to the job failure. The job was restarted and it got completed successfully.
318,on rerun the job completed successfully.
319,"
The job failed in update status query.We have manually changed the status and the job completed successfully."
320,Confirmed at backened
321,re-run was successful.
322,Script executed.
323,self lock. script executed.
324,Job was running for long time than usual. Hence job has been killed and marked as success.
325,The job failed due to TD upgrade issue.It completed successfully after the issue is resolved.
326,The job abended as we are not able to connect to the source database system.
327,brj issue. completed on re-run
328,"issue due to TD upgrade,successful on rerun"
329,the job completed on rerun
330,The job has been completed succesfully on re-run
331,"
The job failed due to log in time out error.We have re-executed the job and completed successfully."
332,Job got failed due to connectivity issue. Then issue was fixed and job was re started
333,completed successfully on re-running
334,JOb got failed due to data duplicate issue. Then issue was fixed and job was restarted.
335,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
336,on rerun the job completed successfully.
337,JOb was failed due to null value issue. Then issue was fixed and job was restarted.
338,The job failed due to log in time out error which has bee re-executed and completed successfully
339,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully
340,The job abended due to Database Login Time out issue as there was load in the TD box. We have reexecuted the job after the load was reduced and the job got completed successfully.
341,Job got failed due to data issue. Then issue was fixed and job was re started
342,Job got failed due to file unavailability. Then job has been cancelled for  the day.
343,brj issue. completed on re-run
344,Job was re-executed.
345,On re-run job completed successfully.
346,The job failed due to log in time out error.We have re-executed the job and completed successfully.
347,Job got failed due to login time out. Then job was re-started.
348,JOb got failed due to name pipe error  and job was re-started and completed
349,duplicates deleted . completed on re-run
350,The job failed due to duplicate .We have re-executed the job after deleting the invalid records and the job completed successfully.
351,Job got failed due to connectivity issue. Job was re started and completed successfully.
352,The job ran successfully on re-run
353,JOb got failed due to file unavailability. Then issue was fixed and job was restarted.
354,Job marked as completed.
355,job completed successfully
356,The job ran successfully on re-run
357,Job got failed due to source unavailability. Then Job was cancelled for the day.
358,Job completed by manually running the query.
359,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully."
360,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
361,"source file not available , job completed successfully ,once the source file was available."
362,Dependent schedule was over-running and hence deadline has breached.
363,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully
364,Job completed successfully by running the query manually.
365,"Source file unavailable , job completed successfully after receiving the updated file."
366,re-run was successfull.
367,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.
368,The job has been cancelled
369,"Source file unavailability , job completed successfully after receiving the updated file."
370,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.
371,The schedule was in held as the dependent schedule was running for long time and completing late.
372,Job got failed due to connectivity issue. Then issue has been resoved adn job was restarted.
373,"
The job failed due to tbload.It completed successfulll after releasing the tbload."
374,JOb schedules were kept on hold as the schedules were didnt run due to TD connecitivity issue. Hence received deadline alert for the same.
375,Source file not available. Job re-run once the file is available.
376,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.
377,On re-run job completed successfully.
378,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully
379,JOb got failed due to name pipe error issue. Then job was re-started and completed successfully
380,Time-out error. On re-run job completed successfully.
381,Self-lock occured. Job completed after manually running the query.
382,Source file issue. Job completed after receiving the file.
383,The job failed due to log-in time out which has been re-executed and completed successfully.
384,completed on re-run
385,"issue due to TD upgrade,successful on rerun"
386,Time-out issue. Job completed on re-run.
387,The job got abended with PIPE error due to database connection time out.
388,"The job abended due to tbload Issue, the issue was fixed and the job was restarted and completed successfully"
389,Job got failed due to data issue. Then issue was fixed and job was re-started and completed successfully.
390,the job failed due to duplicate issue. The issue was fixed and the job was restarted and completed successfully.
391,dead lock. completed on re-run.
392,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully
393,self lock. Script executed.
394,self lock. script executed.
395,Wrongly triggered from brj.
396,self lock. script executed
397,JOb got failed due to connectivity issue. Then job was restarted and completed successfully.
398,The job failed due to log in time out error which has bee re-executed and completed successfully
399,"issue due to TD upgrade,successful on rerun"
400,Job got abended due to count mismatch. Then issue has been fixed and job has been re-executed and compelted sucecssfully
401,completed successfully on re-running
402,JOb was failed due to null value issue. Then issue was fixed and job was restarted.
403,JOb got failed due to connectivity issue. Then issue was fixed and job was restarted and completed successfully.
404,rerun of the job was successful
405,Job got failed due to tdata connectivity issue. Then issue has been fixed and job was re-started.
406,This issue has been fixed by creating new user for ARM at the frond end w.r.to the CMD file in the brj tool
407,JOb got failed due to connectivity issue. Then issue was fixed and job was re-started.
408,Source file issue. Job completed once the file is available.
409,The job failed due to log in time out error.We have re-executed the job and completed successfully.
410,Job got failed due to null value issue. Then issue was fixed and job was re-started and completed successfully.
411,The job has been completed successfully on re-run.
412,Source file issue. Job completed after receiving the file.
413,"Table has been locked. released the lock, dropped the temp table and moved the row count file from archieval to arrival."
414,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully."
415,Batch Issues. Jobs were re-run successfully.
416,Job got failed due to data issue. Then issue has been fixed and job has been fixed and job has been re-executed and completed
417,failed due to tbload issue.The job completed successfully after releasing the tbload.
418,The job ran successfully on re-run
419,re-run was successful.
420,"self Lock occurred , completed the job by running the script"
421,Job cancelled
422,Self-lock occured. Job completed after manually running the query.
423,On re-run job completed successfully.
424,Job got failed due to tdata connectivity issue. Then job was re-started and completed.
425,JOb got failed due to name pipe error  and job was re-started and completed
426,On re-run job completed successfully.
427,The job abended due to login timeout issue. The issue was fixed and the job was reexecuted and completed successfully.
428,JOb got failed due to connectivity  issue. Then job was re-started.
429,on rerun the job executed successfully
430,Job got failed due to tdata connecitivity issuee. Then job was re-started and completed successfully.
431,The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully.
432,Job got failed due to file unavailability. Job was re started once the file was placed in source path.
433,Duplicate issue in the file
434,Job got failed due to  incorrect stream closure. Then issue was fixed and JOb was restarted and completed
435,The job completed successfully on re-executing the job
436,The job failed due to file unavailability.This has been resolved after file recieved and re-execution.
437,Failed due to login time out issue and on re-running job got completed successfully.
438,re-run abend. so clocing teh incident
439,"source count target count validation failed  , on rerun the job completed successfully."
440,killed by tdata DBA.
441,The job ran successfully on re-run
442,brj issue. completed on re-run
443,tbload issue. Re-run after releasing the lock.
444,Self-lock occured. Job completed by running the query.
445,"There were issues in TD upgrade happened over the weekend, later fixed by the TD team after which the jobs were re processed and completed successfully."
446,Job got failed due to connectivity issue. Then job has been re-executed and completed successfully.
447,"Source file unavailability , job completed successfully after receiving the updated file."
448,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully."
449,on rerun the job completed successfully
450,The job failed due to log in time out error which has bee re-executed and completed successfully
451,on rerun the job completed successfully
452,The job abended with PIPE error due to login timeout issue. THe issue was fixed and the job was restarted and completed successfully.
453,Source file issue. Job re-run once the file was available.
454,Job got failed due to tdata connectivity issue. Then job was re-started and completed.
455,re run was successfull
456,"TD outage, re run was succesful"
457,the job ran successfully on re-run
458,Batch Issues. Jobs were re-run successfully.
459,"Batch entry was not there , updated the entry to R status f, the job completed successfully."
460,Job got failed due to file unavailability. Job was re started once the file was placed in source path.
461,Named pipe error. Lock released and job re-run successfully.
462,brj issue. completed on re-run
463,JOb got failed due to connectivity issue. Then job was re-started and completed successfully.
464,completed on re-run
465,Job was executed successfully on re run.
466,Job got failed due to tdata outage. Then job was re-started once the outage has been compelted.
467,self lock. script executed.
468,On re-run job completed successfully.
469,The job has been ran successfully on rerun
470,"
The job failed due to log in time out error.We have re-executed the job and completed successfully."
471,The job has completed successfully on rerun
472,Confirmed at backend
473,Job got failed due to name pipe error. Then JOb was restarted and completed
474,no spool space in db. completed on re-run
475,the job failed due to file unavailability.The job ran later with the file and completed successfully.
476,"The job abended as the source files are not available in the source path. We have requested the source team to place the file and restarted the job, it got completed successfully."
477,brj issue. completed on re-run
478,Source file not available. Job re-run once the file is available.
479,The job executed successfully on re-run
480,rerun was successful after data fix
481,Job got failed due to connectivity issue. Then job was re-started
482,Job got failed due to file unavailability. Then issue was fixed and job was re started
483,JOb got failed due to name pipe error  and job was re-started and completed
484,Job got failed due to file unavailability. Then issue was fixed and job was restarted.
485,wrongly triggered
486,Job got failed due to connectivity issue. Then issue has been fixed and job has been re started
487,The job ran successfully on re-run
488,The job has been completed on re-run
489,The job was marked as completed.
490,source file not available. completed on re-run
491,rerun of the job was successful after data fix
492,on rerun the job completed successfully.
493,Job Abended due to Data Issues (i.e. Duplicates/NULL Values/Invalid Data Format). The issue was fixed and the job was restarted and completed successfully.
494,Self-lock. Job completed by running the query manually.
495,Source file not available. Job re-run once the file is available.
496,Self-lock occured. job completed manually by running the query.
497,issue with source file. completed on re-run once the corrected file made available
498,The job failed due to log in time out error which has bee re-executed and completed successfully
499,The job has been completed on re-run
500,wrongly triggered.
501,"

The job failed due to null values in not null field.We have re-executed the job after deleting the invalid records and completed successfully."
502,The job was executed successfully on rerun
503,Batch Issues. Jobs were re-run successfully.
504,The job was run successfully on re-run
505,Job got failed due to name pipe error. Then job was re-started and completed successfully.
506,on rerun the job completed successfully.
507,job confirmed at backend 
508,the batch completed successfully
509,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully."
510,"There was an issue with the TD upgrade happened, fix was later provide by DBA after which job has been rerun and completed successfully"
511,JOb got failed due to connectivity issue. Then job was restarted and completed successfully
512,batch comfirmed at backend
513,Self-lock occured. Job completed once the query ran successfully.
514,The job was loaded with duplicates. the duplicates were removed and the job was restarted and completed successfully.
515,self lock. script executed
516,The job has been ran successfully on rerun
517,on rerun the job completed successfully
518,Job got abended due to duplicate issue. Then issue has been fixed and job has been re-executed and completed successfully
519,"Time out issue , rerun was success"
520,Time-out issue. Job completed on re-run.
521,Job got failed due to connectivty issue. Then issue has been fixed and job has been re started
522,Job got failed due to tdata connectivity issue. Then job was re-started and completed.
523,The job has been completed successfully on re-run
524,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
525,Job got failed due to connectivity issue. Then  job has been re-executed and completed successfully.
526,Job got failed due to connectivity issue. Then job was re-started
527,Job abended as the oraacle source database was down. The job will be restarted once the Oracle server is restarted.
528,SP value has space in it. completed on re-run after removing the extra space manually.
529,no spool space in db. completed on re-run
530,brj issue. Job re-run once brj is up and completed successfully.
531,Self-lock occured. Job completed once the query ran successfully.
532,Job got failed due to tdata connectivity issue. Then job was re-started and completed.
533,"TD outage, re run was succesful"
534,he job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully.
535,Job got executed successfully on the re-run
536,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.
537,Named pipe error and lock has been released. Completed on re-run.
538,"
The job failed due to duplicate records .We have re-executed the job after deleteing the invalid records and the job completed successfully."
539,Source file not available.
540,Source file not available. Job re-run once the file is avaialble.
541,On re-run job completed successfully.
542,Self-lock. Job completed by running the query manually.
543,brj issue. completed on re-run
544,"There was an issue with TD upgrade, Fix was later provided by TD team after which job has been rerun and completed successfully."
545,On re-run job completed successfully.
546,On re-run job completed successfully.
547,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
548,The job got abended with PIPE ERROR due to database connection Time out. The job was restarted and completed successfully.
549,Job got failed due to duplicate issue. Then issue has been fixed and  job has been re-executed and completed successfully.
